PMACC,PMAYEAR,REGION,EA_ID,GPSLONG,GPSLAT,DATUM,SURVEY
BF,2020,8. est,854181006,0.029297047,13.30519212,WGS84,PMA
BF,2020,3. centre,854131035,-1.52087828,12.37069757,WGS84,PMA
BF,2020,6. centre_ouest,854161005,-2.091541423,11.06255526,WGS84,PMA
BF,2020,10. nord,854201013,-2.30300289,13.01943155,WGS84,PMA
BF,2020,9. hauts_bassins,854191041,-4.31359798,11.19258517,WGS84,PMA
BF,2020,2. cascades,854121002,-4.934295253,10.27014462,WGS84,PMA
BF,2020,6. centre_ouest,854161009,-2.097863993,12.54381857,WGS84,PMA
BF,2020,8. est,854181005,0.069603155,12.28195758,WGS84,PMA
BF,2020,10. nord,854201005,-1.790573021,13.0259395,WGS84,PMA
BF,2020,9. hauts_bassins,854191026,-5.086195361,11.50444428,WGS84,PMA
BF,2020,8. est,854181004,0.712341706,11.24112594,WGS84,PMA
BF,2020,9. hauts_bassins,854191036,-3.765631101,11.66257422,WGS84,PMA
BF,2020,6. centre_ouest,854161006,-2.486093735,12.32676255,WGS84,PMA
BF,2020,3. centre,854131039,-1.48483404,12.36376438,WGS84,PMA
BF,2020,9. hauts_bassins,854191024,-4.283545537,11.21649058,WGS84,PMA
BF,2020,5. centre_nord,854151006,-0.865928641,13.1147065,WGS84,PMA
BF,2020,3. centre,854131015,-1.486305794,12.33684591,WGS84,PMA
BF,2020,3. centre,854131040,-1.452044529,12.3991892,WGS84,PMA
BF,2020,11. plateau_central,854211006,-0.702952591,12.46887266,WGS84,PMA
BF,2020,4. centre_est,854141002,-0.711813701,11.78773065,WGS84,PMA
BF,2020,7. centre_sud,854171003,-0.799230204,11.39415316,WGS84,PMA
BF,2020,8. est,854181002,0.286956187,12.06360137,WGS84,PMA
BF,2020,5. centre_nord,854151004,-1.739909346,13.60674787,WGS84,PMA
BF,2020,4. centre_est,854141004,-0.585819177,11.35841436,WGS84,PMA
BF,2020,6. centre_ouest,854161010,-2.331886947,12.25119709,WGS84,PMA
BF,2020,4. centre_est,854141008,-0.278119972,11.2685048,WGS84,PMA
BF,2020,9. hauts_bassins,854191006,-4.251095262,11.42546286,WGS84,PMA
BF,2020,3. centre,854131041,-1.601216289,12.35425648,WGS84,PMA
BF,2020,4. centre_est,854141003,-0.556909655,11.78076851,WGS84,PMA
BF,2020,12. sahel,854221001,-0.053340918,14.0397973,WGS84,PMA
BF,2020,1. boucle_du_mouhoun,854111012,-4.080756567,12.18743604,WGS84,PMA
BF,2020,9. hauts_bassins,854191012,-4.296383513,11.2444193,WGS84,PMA
BF,2020,1. boucle_du_mouhoun,854111006,-2.93987485,11.76979592,WGS84,PMA
BF,2020,9. hauts_bassins,854191017,-3.120016983,11.3553058,WGS84,PMA
BF,2020,3. centre,854131022,-1.547681217,12.33938071,WGS84,PMA
BF,2020,13. sud_ouest,854231002,-3.190677768,10.32778532,WGS84,PMA
BF,2020,3. centre,854131019,-1.474809031,12.37460259,WGS84,PMA
BF,2020,9. hauts_bassins,854191033,-4.298601598,11.176,WGS84,PMA
BF,2020,3. centre,854131002,-1.578542189,12.33139891,WGS84,PMA
BF,2020,3. centre,854131033,-1.575910597,12.38135048,WGS84,PMA
BF,2020,3. centre,854131030,-1.448790091,12.39340897,WGS84,PMA
BF,2020,3. centre,854131008,-1.485484503,12.37404629,WGS84,PMA
BF,2020,4. centre_est,854141007,-0.196103429,12.17757753,WGS84,PMA
BF,2020,9. hauts_bassins,854191005,-4.257591447,11.15472204,WGS84,PMA
BF,2020,10. nord,854201002,-2.40332332,13.5646478,WGS84,PMA
BF,2020,3. centre,854131004,-1.503150788,12.33268556,WGS84,PMA
BF,2020,1. boucle_du_mouhoun,854111002,-3.069865026,13.07358386,WGS84,PMA
BF,2020,6. centre_ouest,854161008,-2.348786323,12.2437139,WGS84,PMA
BF,2020,9. hauts_bassins,854191025,-5.180268406,10.89723849,WGS84,PMA
BF,2020,3. centre,854131034,-1.472278158,12.34589792,WGS84,PMA
BF,2020,12. sahel,854221003,-0.028479248,14.02124678,WGS84,PMA
BF,2020,6. centre_ouest,854161001,-2.034512491,12.68477056,WGS84,PMA
BF,2020,10. nord,854201004,-2.346425892,13.18606743,WGS84,PMA
BF,2020,9. hauts_bassins,854191010,-4.094801212,10.93986306,WGS84,PMA
BF,2020,3. centre,854131025,-1.552434109,12.35867154,WGS84,PMA
BF,2020,7. centre_sud,854171004,-1.093973809,11.67577777,WGS84,PMA
BF,2020,9. hauts_bassins,854191020,-4.471897213,10.95953293,WGS84,PMA
BF,2020,6. centre_ouest,854161003,-2.347030881,12.26210786,WGS84,PMA
BF,2020,1. boucle_du_mouhoun,854111007,-3.054269127,13.00436929,WGS84,PMA
BF,2020,9. hauts_bassins,854191028,-4.711716636,11.65560496,WGS84,PMA
BF,2020,1. boucle_du_mouhoun,854111011,-3.64012976,12.31450951,WGS84,PMA
BF,2020,9. hauts_bassins,854191001,-4.290686668,11.1881315,WGS84,PMA
BF,2020,1. boucle_du_mouhoun,854111008,-3.903544538,13.38094598,WGS84,PMA
BF,2020,9. hauts_bassins,854191022,-3.288394923,11.3362707,WGS84,PMA
BF,2020,9. hauts_bassins,854191002,-4.307317769,11.21855524,WGS84,PMA
BF,2020,5. centre_nord,854151002,-1.088845616,13.05594835,WGS84,PMA
BF,2020,11. plateau_central,854211004,-0.916374293,12.19523441,WGS84,PMA
BF,2020,8. est,854181007,0.471945894,12.70225066,WGS84,PMA
BF,2020,10. nord,854201010,-2.349149496,13.40958688,WGS84,PMA
BF,2020,9. hauts_bassins,854191011,-4.917196272,10.9724007,WGS84,PMA
BF,2020,9. hauts_bassins,854191038,-4.257194108,11.19489881,WGS84,PMA
BF,2020,6. centre_ouest,854161002,-2.339359063,12.33944305,WGS84,PMA
BF,2020,3. centre,854131009,-1.748844055,12.37237345,WGS84,PMA
BF,2020,3. centre,854131023,-1.638069831,12.38558863,WGS84,PMA
BF,2020,9. hauts_bassins,854191039,-3.51638193,11.47887387,WGS84,PMA
BF,2020,11. plateau_central,854211002,-1.90865751,12.65260465,WGS84,PMA
BF,2020,9. hauts_bassins,854191004,-4.111799108,11.18660018,WGS84,PMA
BF,2020,4. centre_est,854141005,-0.41969091,12.24133632,WGS84,PMA
BF,2020,3. centre,854131037,-1.552969345,12.37095953,WGS84,PMA
BF,2020,10. nord,854201007,-2.420214337,13.58539053,WGS84,PMA
BF,2020,9. hauts_bassins,854191019,-3.893781845,11.28305898,WGS84,PMA
BF,2020,9. hauts_bassins,854191014,-5.060148632,11.44805388,WGS84,PMA
BF,2020,3. centre,854131018,-1.545665476,12.40352456,WGS84,PMA
BF,2020,3. centre,854131032,-1.485560554,12.38243176,WGS84,PMA
BF,2020,9. hauts_bassins,854191016,-4.22112582,11.21529164,WGS84,PMA
BF,2020,5. centre_nord,854151001,-1.007141191,13.22821655,WGS84,PMA
