PMACC,PMAYEAR,REGION,EA_ID,GPSLONG,GPSLAT,DATUM,SURVEY
CI,2020,2.AUTONOME D'ABIDJAN,384121006,-4.056547229,5.354354958,WGS84,PMA
CI,2020,5.CAVALLY,384151003,-8.140802366,6.601453245,WGS84,PMA
CI,2020,1.AGNEBY-TIASSA,384111001,-4.212050449,5.899782022,WGS84,PMA
CI,2020,13.HAUT-SASSANDRA,384231010,-6.198638159,6.401575541,WGS84,PMA
CI,2020,24.SUD-COMOE,384341003,-3.161900461,5.597417083,WGS84,PMA
CI,2020,18.MARAHOUE,384281001,-5.606330147,7.041706467,WGS84,PMA
CI,2020,26.TONKPI,384361001,-8.133814299,7.139070918,WGS84,PMA
CI,2020,23.SAN-PEDRO,384331002,-7.37902698,5.382560236,WGS84,PMA
CI,2020,23.SAN-PEDRO,384331003,-6.699508776,4.789639964,WGS84,PMA
CI,2020,13.HAUT-SASSANDRA,384231005,-6.406536784,6.923960897,WGS84,PMA
CI,2020,25.TCHOLOGO,384351002,-4.677566431,9.2057629,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121002,-3.956539752,5.304880093,WGS84,PMA
CI,2020,17.LÔH-DJIBOUA,384271002,-5.191511209,5.317323225,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121031,-3.991267082,5.361511139,WGS84,PMA
CI,2020,17.LÔH-DJIBOUA,384271001,-5.458721097,5.763166467,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121018,-3.991676009,5.439591068,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121013,-4.05794002,5.318532317,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121023,-3.980167014,5.359459363,WGS84,PMA
CI,2020,10.GRANDS-PONTS,384201002,-4.995069306,5.232748093,WGS84,PMA
CI,2020,13.HAUT-SASSANDRA,384231007,-6.455397525,6.887869643,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121021,-4.010750832,5.446185135,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121035,-3.906338673,5.3739565,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121019,-3.986864957,5.306313878,WGS84,PMA
CI,2020,6.GBEKE,384161004,-5.053737618,7.682790807,WGS84,PMA
CI,2020,18.MARAHOUE,384281002,-6.121289175,6.727897198,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121016,-4.008834107,5.335689789,WGS84,PMA
CI,2020,2.AUTONOME D'ABIDJAN,384121022,-4.026243966,5.418517753,WGS84,PMA
CI,2020,9.GONTOUGO,384191001,-2.814150043,8.044659484,WGS84,PMA
CI,2020,11.GUEMON,384211001,-7.108812748,6.910214951,WGS84,PMA
CI,2020,16.LA ME,384261002,-3.797236326,6.270648291,WGS84,PMA
CI,2020,9.GONTOUGO,384191003,-2.952423377,7.516916128,WGS84,PMA
CI,2020,30.WORODOUGOU,384401002,-6.681726898,7.95030129,WGS84,PMA
