PMACC,PMAYEAR,PROVINCE,EA_ID,GPSLONG,GPSLAT,DATUM,SURVEY
CD,2020,2. bas_congo,180121009,14.78760462,-4.878831905,WGS84,PMA
CD,2020,2. bas_congo,180121049,13.29379014,-5.489956143,WGS84,PMA
CD,2020,2. bas_congo,180121008,13.06681686,-5.689557619,WGS84,PMA
CD,2020,2. bas_congo,180121007,13.05443862,-5.835811619,WGS84,PMA
CD,2020,2. bas_congo,180121006,13.04870105,-5.823084333,WGS84,PMA
CD,2020,2. bas_congo,180121005,13.06215638,-5.821227143,WGS84,PMA
CD,2020,2. bas_congo,180121056,12.94594552,-5.396940476,WGS84,PMA
CD,2020,2. bas_congo,180121040,12.38399652,-5.917703619,WGS84,PMA
CD,2020,2. bas_congo,180121057,13.48361405,-5.827457714,WGS84,PMA
CD,2020,2. bas_congo,180121015,16.03098762,-5.758562667,WGS84,PMA
CD,2020,2. bas_congo,180121014,14.45563652,-5.733537238,WGS84,PMA
CD,2020,2. bas_congo,180121013,13.50211414,-5.140531762,WGS84,PMA
CD,2020,2. bas_congo,180121012,13.46148686,-4.95161019,WGS84,PMA
CD,2020,2. bas_congo,180121052,13.12432152,-5.115576952,WGS84,PMA
CD,2020,2. bas_congo,180121011,13.66146814,-4.942322143,WGS84,PMA
CD,2020,2. bas_congo,180121010,13.40681424,-5.635802667,WGS84,PMA
CD,2020,2. bas_congo,180121019,15.10127405,-5.150600524,WGS84,PMA
CD,2020,2. bas_congo,180121018,13.32425976,-4.83498619,WGS84,PMA
CD,2020,2. bas_congo,180121017,13.12582352,-4.668184238,WGS84,PMA
CD,2020,2. bas_congo,180121016,13.08769286,-4.702895095,WGS84,PMA
CD,2020,2. bas_congo,180121051,13.17399362,-5.274847333,WGS84,PMA
CD,2020,2. bas_congo,180121050,15.18297338,-4.782486048,WGS84,PMA
CD,2020,2. bas_congo,180121026,12.69423457,-5.004594,WGS84,PMA
CD,2020,2. bas_congo,180121055,15.60744333,-4.935304429,WGS84,PMA
CD,2020,2. bas_congo,180121025,13.0145079,-4.944380333,WGS84,PMA
CD,2020,2. bas_congo,180121024,12.42053443,-5.896326619,WGS84,PMA
CD,2020,2. bas_congo,180121023,12.42311757,-5.914945381,WGS84,PMA
CD,2020,2. bas_congo,180121022,12.44097752,-5.892137924,WGS84,PMA
CD,2020,2. bas_congo,180121021,15.49248633,-4.925683333,WGS84,PMA
CD,2020,2. bas_congo,180121020,15.27797948,-5.362121476,WGS84,PMA
CD,2020,2. bas_congo,180121029,14.9269761,-5.517957524,WGS84,PMA
CD,2020,2. bas_congo,180121028,14.51154376,-5.654152286,WGS84,PMA
CD,2020,2. bas_congo,180121027,14.69300724,-5.495788524,WGS84,PMA
CD,2020,2. bas_congo,180121037,13.47653162,-5.836575905,WGS84,PMA
CD,2020,2. bas_congo,180121036,13.47390862,-5.829833286,WGS84,PMA
CD,2020,2. bas_congo,180121035,13.46514933,-5.828641571,WGS84,PMA
CD,2020,2. bas_congo,180121054,14.32077081,-5.427930714,WGS84,PMA
CD,2020,2. bas_congo,180121034,15.21498471,-4.681565381,WGS84,PMA
CD,2020,2. bas_congo,180121033,14.12279567,-4.939894524,WGS84,PMA
CD,2020,2. bas_congo,180121032,12.66731852,-5.323124619,WGS84,PMA
CD,2020,2. bas_congo,180121031,12.82384343,-5.442306333,WGS84,PMA
CD,2020,2. bas_congo,180121030,14.67873862,-5.496225952,WGS84,PMA
CD,2020,2. bas_congo,180121039,14.85734405,-5.237914105,WGS84,PMA
CD,2020,2. bas_congo,180121038,13.46772505,-5.845293238,WGS84,PMA
CD,2020,2. bas_congo,180121053,13.05224705,-5.829750048,WGS84,PMA
CD,2020,2. bas_congo,180121048,13.29957086,-5.499604,WGS84,PMA
CD,2020,2. bas_congo,180121047,13.28138314,-5.50032019,WGS84,PMA
CD,2020,2. bas_congo,180121046,13.47410262,-5.825402524,WGS84,PMA
CD,2020,2. bas_congo,180121004,13.05792043,-5.832168143,WGS84,PMA
CD,2020,2. bas_congo,180121045,13.46814662,-5.823984,WGS84,PMA
CD,2020,2. bas_congo,180121003,14.96928548,-5.270644381,WGS84,PMA
CD,2020,2. bas_congo,180121044,13.92912219,-5.768604714,WGS84,PMA
CD,2020,2. bas_congo,180121043,15.56323452,-5.697581283,WGS84,PMA
CD,2020,2. bas_congo,180121002,15.5243059,-5.042333476,WGS84,PMA
CD,2020,2. bas_congo,180121001,15.31615629,-5.142385476,WGS84,PMA
CD,2020,2. bas_congo,180121042,12.56831976,-5.873748762,WGS84,PMA
CD,2020,2. bas_congo,180121041,12.38099086,-5.930768952,WGS84,PMA
CD,2020,1. kinshasa,180111025,15.42469686,-4.432301,WGS84,PMA
CD,2020,1. kinshasa,180111053,15.24281148,-4.411303286,WGS84,PMA
CD,2020,1. kinshasa,180111020,15.31755405,-4.310534381,WGS84,PMA
CD,2020,1. kinshasa,180111046,15.38503414,-4.374655333,WGS84,PMA
CD,2020,1. kinshasa,180111037,15.21836895,-4.363734476,WGS84,PMA
CD,2020,1. kinshasa,180111009,15.2673481,-4.378543952,WGS84,PMA
CD,2020,1. kinshasa,180111030,15.3921349,-4.415659143,WGS84,PMA
CD,2020,1. kinshasa,180111024,15.43028514,-4.435256143,WGS84,PMA
CD,2020,1. kinshasa,180111042,15.28817971,-4.375029524,WGS84,PMA
CD,2020,1. kinshasa,180111018,15.28941219,-4.364634867,WGS84,PMA
CD,2020,1. kinshasa,180111006,15.38351557,-4.384116714,WGS84,PMA
CD,2020,1. kinshasa,180111028,15.29015452,-4.414794667,WGS84,PMA
CD,2020,1. kinshasa,180111055,15.37626652,-4.389136248,WGS84,PMA
CD,2020,1. kinshasa,180111052,15.27140071,-4.364091857,WGS84,PMA
CD,2020,1. kinshasa,180111002,15.29511448,-4.359457333,WGS84,PMA
CD,2020,1. kinshasa,180111034,15.32025552,-4.377482095,WGS84,PMA
CD,2020,1. kinshasa,180111048,15.21915657,-4.355686667,WGS84,PMA
CD,2020,1. kinshasa,180111016,15.37419933,-4.377663476,WGS84,PMA
CD,2020,1. kinshasa,180111007,15.28435257,-4.382084571,WGS84,PMA
CD,2020,1. kinshasa,180111051,15.34265152,-4.384938952,WGS84,PMA
CD,2020,1. kinshasa,180111021,15.32190181,-4.34653619,WGS84,PMA
CD,2020,1. kinshasa,180111015,15.37192424,-4.460527333,WGS84,PMA
CD,2020,1. kinshasa,180111008,15.39772814,-4.396050333,WGS84,PMA
CD,2020,1. kinshasa,180111023,15.30266243,-4.432384143,WGS84,PMA
CD,2020,1. kinshasa,180111036,15.20121024,-4.38564719,WGS84,PMA
CD,2020,1. kinshasa,180111040,15.29792948,-4.353940095,WGS84,PMA
CD,2020,1. kinshasa,180111005,15.34590243,-4.395848,WGS84,PMA
CD,2020,1. kinshasa,180111012,15.26293857,-4.359925952,WGS84,PMA
CD,2020,1. kinshasa,180111003,15.37723452,-4.430017524,WGS84,PMA
CD,2020,1. kinshasa,180111041,15.35867219,-4.404461286,WGS84,PMA
CD,2020,1. kinshasa,180111014,15.30342014,-4.352776476,WGS84,PMA
CD,2020,1. kinshasa,180111038,15.30618457,-4.314205476,WGS84,PMA
CD,2020,1. kinshasa,180111044,15.32735633,-4.369183286,WGS84,PMA
CD,2020,1. kinshasa,180111043,15.322965,-4.389747571,WGS84,PMA
CD,2020,1. kinshasa,180111045,15.20917957,-4.352131524,WGS84,PMA
CD,2020,1. kinshasa,180111027,15.3621951,-4.383809714,WGS84,PMA
CD,2020,1. kinshasa,180111050,15.37871843,-4.379351952,WGS84,PMA
CD,2020,1. kinshasa,180111010,15.24380276,-4.394281714,WGS84,PMA
CD,2020,1. kinshasa,180111004,15.39747295,-4.391928952,WGS84,PMA
