PMACC,PMAYEAR,PROVINCE,EA_ID,GPSLAT,GPSLONG,DATUM
DRC,2017,KINSHASA,5005,-4.316395862,15.30476523,WGS84
DRC,2017,KINSHASA,5072,-4.492533412,15.21413565,WGS84
DRC,2017,KINSHASA,5086,-4.390991369,15.33950625,WGS84
DRC,2017,KINSHASA,5069,-4.386321496,15.30858438,WGS84
DRC,2017,KINSHASA,5008,-4.319441086,15.28930797,WGS84
DRC,2017,KINSHASA,5082,-4.388299354,15.3676206,WGS84
DRC,2017,KINSHASA,5063,-4.391665343,15.3566656,WGS84
DRC,2017,KINSHASA,5073,-4.358599308,15.22931299,WGS84
DRC,2017,KONGO CENTRAL,5271,-5.548552205,15.51574943,WGS84
DRC,2017,KINSHASA,5003,-4.376738025,15.27011226,WGS84
DRC,2017,KINSHASA,5050,-4.387981049,15.32079455,WGS84
DRC,2017,KONGO CENTRAL,5114,-5.752776843,16.12510367,WGS84
DRC,2017,KONGO CENTRAL,5109,-5.704259568,14.39284812,WGS84
DRC,2017,KONGO CENTRAL,5133,-4.609803077,13.12755621,WGS84
DRC,2017,KONGO CENTRAL,5132,-4.723845118,13.04334218,WGS84
DRC,2017,KINSHASA,5059,-4.37517964,15.2911841,WGS84
DRC,2017,KONGO CENTRAL,5139,-5.720354838,13.35018183,WGS84
DRC,2017,KINSHASA,5007,-4.379972692,15.23971451,WGS84
DRC,2017,KONGO CENTRAL,5143,-4.965383939,13.50679156,WGS84
DRC,2017,KONGO CENTRAL,5126,-5.144395326,15.07618201,WGS84
DRC,2017,KONGO CENTRAL,5130,-4.806978894,13.302486,WGS84
DRC,2017,KINSHASA,5055,-4.416700286,15.38580653,WGS84
DRC,2017,KINSHASA,5057,-4.426792711,15.41910245,WGS84
DRC,2017,KINSHASA,5052,-4.426180576,15.29376179,WGS84
DRC,2017,KONGO CENTRAL,5142,-5.826745958,13.01114277,WGS84
DRC,2017,KONGO CENTRAL,5104,-5.824750901,13.06481119,WGS84
DRC,2017,KONGO CENTRAL,5112,-5.824369381,13.0526104,WGS84
DRC,2017,KONGO CENTRAL,5115,-5.784630753,13.05316454,WGS84
DRC,2017,KONGO CENTRAL,5117,-5.090095218,15.64962872,WGS84
DRC,2017,KONGO CENTRAL,5136,-5.276993723,14.9452778,WGS84
DRC,2017,KINSHASA,5009,-4.358481941,15.21367627,WGS84
DRC,2017,KONGO CENTRAL,5129,-5.142649734,15.34903818,WGS84
DRC,2017,KONGO CENTRAL,5151,-4.950867481,13.6581277,WGS84
DRC,2017,KONGO CENTRAL,5118,-5.637643829,13.09798059,WGS84
DRC,2017,KONGO CENTRAL,5107,-4.923608898,14.85122843,WGS84
DRC,2017,KINSHASA,5002,-4.441909665,15.38094055,WGS84
DRC,2017,KONGO CENTRAL,5145,-5.050745374,13.60001864,WGS84
DRC,2017,KINSHASA,5011,-4.404989526,15.39509745,WGS84
DRC,2017,KINSHASA,5066,-4.42300883,15.28885459,WGS84
DRC,2017,KONGO CENTRAL,5278,-4.788770956,15.14650996,WGS84
DRC,2017,KINSHASA,5083,-4.394312295,15.38704925,WGS84
DRC,2017,KINSHASA,5062,-4.360610842,15.20268315,WGS84
DRC,2017,KINSHASA,5076,-4.385358626,15.19993005,WGS84
DRC,2017,KINSHASA,5054,-4.341369584,15.22577591,WGS84
DRC,2017,KONGO CENTRAL,5200,-4.974597236,14.1298813,WGS84
DRC,2017,KONGO CENTRAL,5218,-5.336975782,12.70720893,WGS84
DRC,2017,KONGO CENTRAL,5217,-5.456617045,12.8094309,WGS84
DRC,2017,KONGO CENTRAL,5210,-5.495475545,14.66037189,WGS84
DRC,2017,KONGO CENTRAL,5236,-5.84547708,13.51085511,WGS84
DRC,2017,KONGO CENTRAL,5252,-5.8543908,13.47276729,WGS84
DRC,2017,KONGO CENTRAL,5247,-5.81018352,13.46899566,WGS84
DRC,2017,KONGO CENTRAL,5203,-4.637252723,15.289045,WGS84
DRC,2017,KONGO CENTRAL,5208,-5.225666168,14.84654176,WGS84
DRC,2017,KONGO CENTRAL,5237,-5.842261143,13.45155616,WGS84
DRC,2017,KINSHASA,5071,-4.366164888,15.37661474,WGS84
DRC,2017,KINSHASA,5084,-4.377163376,15.38886,WGS84
DRC,2017,KINSHASA,5015,-4.390446507,15.38116579,WGS84
DRC,2017,KINSHASA,5051,-4.418988699,15.42620168,WGS84
DRC,2017,KINSHASA,5000,-4.416903144,15.40644509,WGS84
