PMACC,PMAYEAR,REGION,EA_ID,GPSLONG,GPSLAT,DATUM,SURVEY
UG,2020,12. south_buganda,800221003,32.33992623,0.22085723,WGS84,PMA
UG,2020,9. kigezi,800191002,29.94350475,-1.157960735,WGS84,PMA
UG,2020,2. ankole,800121008,30.19217003,-0.543280741,WGS84,PMA
UG,2020,5. busoga,800151006,33.29806505,0.688974975,WGS84,PMA
UG,2020,7. kampala,800171005,32.62457293,0.309716779,WGS84,PMA
UG,2020,12. south_buganda,800221009,32.54551391,0.138167466,WGS84,PMA
UG,2020,14. tooro,800241002,30.66916221,0.771588007,WGS84,PMA
UG,2020,4. bunyoro,800141003,31.52248625,1.627065964,WGS84,PMA
UG,2020,5. busoga,800151008,33.45033521,0.523608054,WGS84,PMA
UG,2020,14. tooro,800241004,29.73012904,0.038555679,WGS84,PMA
UG,2020,12. south_buganda,800221001,31.29383342,-0.560934452,WGS84,PMA
UG,2020,5. busoga,800151005,33.46398768,0.622235992,WGS84,PMA
UG,2020,1. acholi,800111001,33.21666589,2.904182081,WGS84,PMA
UG,2020,5. busoga,800151003,33.75977983,0.54227637,WGS84,PMA
UG,2020,14. tooro,800241008,29.74820044,-0.042343605,WGS84,PMA
UG,2020,1. acholi,800111005,32.30599913,2.754378839,WGS84,PMA
UG,2020,5. busoga,800151002,33.76650614,0.721733105,WGS84,PMA
UG,2020,11. north_buganda,800211003,32.70370656,0.392702821,WGS84,PMA
UG,2020,14. tooro,800241001,30.28676005,0.510962339,WGS84,PMA
UG,2020,8. karamoja,800181005,33.97827737,3.09700639,WGS84,PMA
UG,2020,12. south_buganda,800221005,31.42978928,-0.149963398,WGS84,PMA
UG,2020,3. bukedi,800131005,33.70150857,1.149169501,WGS84,PMA
UG,2020,15. west_nile,800251002,31.09055697,2.522285383,WGS84,PMA
UG,2020,2. ankole,800121003,29.99928936,-0.618049514,WGS84,PMA
UG,2020,11. north_buganda,800211011,32.79656821,0.843517395,WGS84,PMA
UG,2020,3. bukedi,800131004,34.01337988,0.482355624,WGS84,PMA
UG,2020,12. south_buganda,800221006,31.47104845,-0.395149949,WGS84,PMA
UG,2020,8. karamoja,800181003,34.94487157,1.95504231,WGS84,PMA
UG,2020,6. elgon,800161002,34.13855088,1.058560634,WGS84,PMA
UG,2020,4. bunyoro,800141012,32.28316064,2.187430141,WGS84,PMA
UG,2020,1. acholi,800111004,33.037566,3.167663218,WGS84,PMA
UG,2020,2. ankole,800121011,30.65744162,-0.73176044,WGS84,PMA
UG,2020,6. elgon,800161005,34.27776363,0.97721178,WGS84,PMA
UG,2020,13. teso,800231001,33.63951782,2.225812282,WGS84,PMA
UG,2020,11. north_buganda,800211001,31.68881046,1.149510157,WGS84,PMA
UG,2020,11. north_buganda,800211010,33.08582352,0.28920526,WGS84,PMA
UG,2020,10. lango,800201001,33.1676786,2.221663212,WGS84,PMA
UG,2020,4. bunyoro,800141006,31.501367,2.166638495,WGS84,PMA
UG,2020,4. bunyoro,800141009,31.35711479,1.426429858,WGS84,PMA
UG,2020,6. elgon,800161001,34.33265275,0.946034886,WGS84,PMA
UG,2020,2. ankole,800121006,30.76675985,-0.038932858,WGS84,PMA
UG,2020,7. kampala,800171003,32.59095565,0.370315626,WGS84,PMA
UG,2020,6. elgon,800161004,34.36561429,1.397482181,WGS84,PMA
UG,2020,5. busoga,800151007,33.70172923,-0.152903128,WGS84,PMA
UG,2020,12. south_buganda,800221004,32.46683241,0.067615552,WGS84,PMA
UG,2020,4. bunyoro,800141005,30.80490803,0.934701772,WGS84,PMA
UG,2020,4. bunyoro,800141008,32.12493674,1.939756876,WGS84,PMA
UG,2020,10. lango,800201006,33.04663027,2.054242284,WGS84,PMA
UG,2020,7. kampala,800171007,32.53929129,0.337736502,WGS84,PMA
UG,2020,2. ankole,800121010,30.43833703,-0.21409061,WGS84,PMA
UG,2020,2. ankole,800121004,30.54748456,-0.229062052,WGS84,PMA
UG,2020,4. bunyoro,800141001,31.466564,1.007565487,WGS84,PMA
UG,2020,13. teso,800231006,33.5696979,1.725137254,WGS84,PMA
UG,2020,6. elgon,800161003,34.63289437,1.44484574,WGS84,PMA
UG,2020,11. north_buganda,800211007,32.76472989,0.263731397,WGS84,PMA
